year,Aggregate Markups
1955,1.2194434276240638
1956,1.2027736044996136
1957,1.1970540771083213
1958,1.1988758396726766
1959,1.2165579914602938
1960,1.203394889931678
1961,1.2500180525719846
1962,1.2666010359747502
1963,1.287342949603255
1964,1.302182110397694
1965,1.303296856689758
1966,1.2981005019642726
1967,1.29490030634612
1968,1.3002180049233354
1969,1.3035319326939467
1970,1.2812395525429534
1971,1.2824021285836367
1972,1.2849007973693243
1973,1.2810291586663103
1974,1.245599361618863
1975,1.2351073615380965
1976,1.2345992748697898
1977,1.2335163110317373
1978,1.246839465338536
1979,1.21932465791514
1980,1.2041492261760782
1981,1.2020645541643902
1982,1.2170920715740254
1983,1.2401841496504602
1984,1.2573959199094982
1985,1.2694871875702647
1986,1.307277164070987
1987,1.3258918778267226
1988,1.3752313576235513
1989,1.3763574666772045
1990,1.3785028902339576
1991,1.3851135856918813
1992,1.3989386428059545
1993,1.3921294793072194
1994,1.3811489594946544
1995,1.3982743485035933
1996,1.4245736858631282
1997,1.4342667548351709
1998,1.4491933897947245
1999,1.4752794939179517
2000,1.5000385368458178
2001,1.4920480323878618
2002,1.4969614019545205
2003,1.5343061884327502
2004,1.5306846767015596
2005,1.5342892405431368
2006,1.5206091669472552
2007,1.5364302320860501
2008,1.5185688044175805
2009,1.5486698123359077
2010,1.556137244078931
2011,1.5161667874614644
2012,1.5125720799739104
2013,1.5162710495257345
2014,1.5238067998103808
2015,1.5595776127847738
2016,1.600402244511143
2017,1.5842377238015957
2018,1.5690885394518501
2019,1.57427454835421
2020,1.6087985714184139
2021,1.7245821065353941
