year,Total Sales,Cost of Goods Sold
1955,2216325.1784359454,1582360.97469255
1956,2252209.2524048635,1629959.1663991446
1957,2272064.869866975,1649781.2994023522
1958,2080170.1865136297,1512384.7776183642
1959,2235827.57847754,1602343.7458305035
1960,1575486.33822925,1145779.7437482104
1961,1541700.4874392524,1094172.6500852879
1962,1540264.2142484698,1085034.1488584103
1963,1529211.2909495402,1065084.7038452763
1964,1535295.77856152,1064103.7311638794
1965,1575286.8917588233,1089167.2426514747
1966,1596632.391186766,1107334.8355668145
1967,1546941.7141769999,1078548.2629577213
1968,1494941.64002227,1037516.4749860812
1969,1541732.3922333051,1066434.8717095454
1970,1487816.862135924,1041218.2497858171
1971,1478839.7415160837,1032687.2319816031
1972,1518733.5465352035,1059563.427262881
1973,1569896.4305952103,1098089.4839510531
1974,1407608.2089024838,1007681.3326757575
1975,1335988.3904421849,966703.6336363181
1976,1421209.676701868,1028742.5458190741
1977,1508666.827463449,1094347.6590830658
1978,1575373.681020987,1131977.3591597462
1979,1615918.8922660232,1175312.8969925616
1980,1569687.8259971181,1157482.5043688458
1981,1473413.5253117408,1090856.640909163
1982,1256459.5617398007,923493.2440700262
1983,1158835.0370136814,835474.3669442805
1984,1192815.469992569,848525.4041834187
1985,1126936.765607541,796543.1195624691
1986,1066522.9379035684,738540.1641600046
1987,1158147.2736412054,794460.2213939419
1988,1233836.3309055667,820548.5497877632
1989,1322121.3079537998,879215.2985263899
1990,1403005.6718080642,936869.6794139412
1991,1326464.6917127874,890089.0694084495
1992,1288464.315929446,860743.000808182
1993,1204126.8536105622,803951.2358628928
1994,1297399.4838412888,868071.8795236445
1995,1275820.5478843744,845405.417856357
1996,1333877.5925678418,881684.199207326
1997,1405285.3433223818,922934.8438893699
1998,1408177.4584737145,922791.072352312
1999,1515301.7384358493,980698.5001614837
2000,1698877.5736668543,1098809.3337640348
2001,1781160.0016988541,1165125.3041617214
2002,1914891.7861030898,1251997.040989676
2003,2193118.0414499,1414925.6872472086
2004,2463020.489384103,1595651.3694905313
2005,2499035.305288122,1618820.521349912
2006,2717917.5656037475,1762837.777992651
2007,3005968.6430828646,1936925.7276727755
2008,3234012.104586385,2144637.822683746
2009,2923516.3811862487,1893464.5073668305
2010,3329268.0146650192,2148327.651657142
2011,3702855.7072787383,2453844.3645939487
2012,3634212.278233657,2417688.573204294
2013,3661740.941912938,2433484.110967487
2014,3711759.1516339355,2468942.289466357
2015,3558638.4071922624,2360768.175402108
2016,3597853.8420382557,2322363.187751994
2017,4006897.796684341,2595233.9679761473
2018,4248512.935827665,2765613.9706682786
2019,4271540.656398199,2784710.295316885
2020,4028593.0664449357,2621585.1016937597
2021,4427427.289851502,2776889.501092208
