year,p25,p50,p75,p90,p10
1956,1.0729477405811512,1.1866062060738463,1.3679629859259717,1.6061428121850923,NA
1957,1.073052163795666,1.1875587322855439,1.3418740107339084,1.6411158518771,0.9904502833115298
1958,1.0613562679196384,1.1835090800303842,1.3703532376241307,1.6499476112506264,0.9910927016563118
1959,1.0819093126969401,1.1987067311726398,1.3752556724257912,1.6922894892621754,1.003747460242744
1960,1.0584527772071008,1.1715428766203606,1.359420912007119,1.6603139976688746,0.9869990427970478
1961,1.0655012095664547,1.171656964359455,1.3580139912197247,1.6650047820396656,0.9895098831433218
1962,1.0668177644371934,1.1801243471538623,1.3663134150378864,1.65896097264157,1.0034447897169811
1963,1.07066774356772,1.1781804381056555,1.3723512122108286,1.729705641374717,1.0088812566651955
1964,1.0757939825984437,1.1849498096463984,1.3829911704007585,1.7545574277143963,1.0125666426994473
1965,1.087134982802863,1.1962855492641322,1.3795369698714401,1.740735858563405,1.0191812482606717
1966,1.0918696616948125,1.1932455374901378,1.3858410805740364,1.731164745911923,1.026223502453734
1967,1.0898990878304424,1.1952054981279212,1.3743687574479928,1.6862372719593028,1.025229454417535
1968,1.0926650090415913,1.200843219431618,1.3697038246016804,1.6752788041697833,1.0330632213502409
1969,1.0914888628214796,1.1957570978630714,1.3690280381041235,1.6692098636285202,1.0256606458644446
1970,1.0763303659742829,1.181024844720497,1.3567170172084129,1.659059872314501,1.005945381186578
1971,1.07782966236459,1.18908098923591,1.3661736641221376,1.677577943229386,1.0103430441864147
1972,1.0805813213675786,1.189612068965517,1.3690982740142992,1.6889392232994644,1.0089658023098629
1973,1.085506429479668,1.192735295758447,1.3792451234459702,1.6884917091855591,1.0150345329337864
1974,1.0761296963948421,1.1866883116883118,1.3784000779554697,1.7139377256851946,1.0003474547206481
1975,1.0777801770675879,1.1920952132968796,1.3766543988783737,1.7312843906432613,1.0010411840783924
1976,1.0806612355838199,1.1962688387197746,1.3941381695488477,1.746000861419188,1.002020784547061
1977,1.0776420665660242,1.1973620496186888,1.4059860132462503,1.7749057373070294,1.0003973864918467
1978,1.0842019292507463,1.208459161048049,1.4229055215590114,1.8029886617464097,1.0035683218440834
1979,1.0872365581966494,1.212750716332378,1.4364176305095342,1.8440038366675804,1.0053444598159067
1980,1.083469380532609,1.2170254149377593,1.4738097618412866,1.9189397711736342,1.00196108980219
1981,1.0848790542229456,1.2268159497053777,1.495458332492728,1.9878202064975021,0.9958122775041005
1982,1.0865014584198556,1.2400928680787968,1.539170579586497,2.105241825844606,0.9843870601689575
1983,1.0939929739209342,1.2541045081794708,1.576139285015095,2.233484752171061,0.9934580354585898
1984,1.0967015138269944,1.2603157777777778,1.5916829575028224,2.2483666234177972,0.9910950233653089
1985,1.0904883285162175,1.253758640651071,1.575976272389435,2.1828657311349486,0.9788273869803432
1986,1.0907992773145958,1.2599332436449346,1.5903043809538548,2.1462887447129493,0.9734499208492932
1987,1.0986885753383357,1.273041474654378,1.6341141044517042,2.254770860600487,0.9917330254458745
1988,1.1031839879504115,1.2791269695859289,1.6361133440514468,2.2679707594422633,0.9907823577182241
1989,1.1010962146221046,1.2760698103708674,1.6332170876608232,2.284013508904003,0.9927493830908061
1990,1.0971668334744784,1.2804338487972509,1.643333333333333,2.2745963401507,0.9916388709813047
1991,1.1002900699412514,1.2874208526804556,1.6443172941239337,2.267318684581694,0.9819259012016021
1992,1.1073551957521595,1.2950036656891497,1.6610906779142063,2.3085753176043555,0.9984187082405346
1993,1.1042968530477104,1.292177617882333,1.6630363723480681,2.335135096375974,0.9965993878298843
1994,1.1053899490461627,1.2943999192332312,1.6574376270484752,2.310585104272848,1.0023162733823363
1995,1.1107320913146157,1.3076061116874134,1.6817834234687463,2.419885756823521,0.996592382732909
1996,1.108542402218476,1.3078570847898545,1.6995802922023446,2.4715699913784506,0.992902274443962
1997,1.1116283002332144,1.3141471526506254,1.7226554366425546,2.5138232787486596,0.9857231091986169
1998,1.1052338143233964,1.3203093009651947,1.7432011159631247,2.587537336032135,0.9782508208442308
1999,1.1147560368547604,1.334046875455562,1.7893605389951395,2.705068620191367,0.9814031797443457
2000,1.10221093316578,1.3298656812833878,1.808923477090032,2.8013055090071224,0.973097276272008
2001,1.1018458840174477,1.3263523084331696,1.807152773737657,2.8176851883159326,0.9751328120254007
2002,1.116172069445017,1.3494244578356727,1.8506209404958094,2.864231738035264,0.990141774844451
2003,1.1171059343490546,1.3667636526410025,1.9193951997817709,3.0393549240762052,0.9933122082633635
2004,1.121789234206632,1.3812839738681735,1.9588053955947204,3.084260682800992,0.9941792068851569
2005,1.1196883633503072,1.3787737509097184,1.9810144866763735,3.247233770386952,0.9889769445083452
2006,1.1163285470837123,1.384196168315105,1.9717189909105175,3.0978657071977063,0.9873945181676946
2007,1.115844665320942,1.3752646020879653,1.9796068458309934,3.076038902388768,0.984582997074182
2008,1.0987428492541143,1.3467282502616054,1.9395322692265862,3.1110767986081793,0.9711356336519643
2009,1.1075572772824174,1.3548501968115736,1.9173526254054996,2.930348529275302,0.9725757859781938
2010,1.1246357753494953,1.391560278884989,1.9893300097997695,3.0472103971764097,0.9881934665468886
2011,1.1167317573111994,1.3822645937046256,1.9886021752518295,3.08054765462618,0.9800725376503703
2012,1.1045632192226968,1.3698041617592065,1.9766375310240636,3.186271953923551,0.9658454800826105
2013,1.107318720636232,1.3816568109980678,1.982435120573609,3.2739470646795654,0.9694752737784701
2014,1.1026541963652874,1.3635563976605045,1.9688023259279859,3.218645302307357,0.9686816349060238
